Date,Open,High,Low,Close,Change %
"Dec 21, 2018","1,211.87","1,215.22","1,210.96","1,214.86",0.21
"Dec 20, 2018","1,215.97","1,216.42","1,205.32","1,212.27",-0.43
"Dec 19, 2018","1,212.91","1,219.07","1,208.93","1,217.53",0.47
"Dec 18, 2018","1,206.67","1,212.03","1,202.95","1,211.79",0.42
"Dec 17, 2018","1,216.76","1,216.76","1,203.34","1,206.78",-0.91
"Dec 14, 2018","1,220.33","1,222.04","1,214.81","1,217.82",-0.09
"Dec 13, 2018","1,212.78","1,219.20","1,211.48","1,218.88",0.45
"Dec 12, 2018","1,209.91","1,213.97","1,209.45","1,213.48",0.05
"Dec 11, 2018","1,206.03","1,213.54","1,203.22","1,212.88",0.44
"Dec 10, 2018","1,197.75","1,207.97","1,196.25","1,207.61",0.87
"Dec 07, 2018","1,201.69","1,201.69","1,194.44","1,197.18",-0.36
"Dec 06, 2018","1,195.99","1,202.92","1,194.68","1,201.50",0.52
"Dec 04, 2018","1,186.50","1,198.77","1,184.58","1,195.31",0.91
"Dec 03, 2018","1,185.14","1,189.03","1,180.12","1,184.49",-0.12
"Nov 30, 2018","1,183.65","1,187.76","1,182.80","1,185.88",0.23
"Nov 29, 2018","1,185.45","1,186.23","1,180.51","1,183.15",-0.26
"Nov 28, 2018","1,178.49","1,188.35","1,177.95","1,186.28",0.97
"Nov 27, 2018","1,178.53","1,181.10","1,173.94","1,174.93",-0.37
"Nov 26, 2018","1,173.45","1,179.71","1,173.23","1,179.24",0.53
"Nov 23, 2018","1,174.43","1,177.17","1,171.67","1,172.97",-0.34
"Nov 21, 2018","1,180.47","1,183.67","1,173.95","1,176.92",0.15
"Nov 20, 2018","1,172.91","1,177.92","1,164.98","1,175.13",-0.53
"Nov 19, 2018","1,199.84","1,200.01","1,180.22","1,181.39",-1.52
"Nov 16, 2018","1,202.52","1,206.76","1,195.88","1,199.65",-0.44
"Nov 15, 2018","1,199.31","1,205.83","1,197.93","1,204.93",0.43
"Nov 14, 2018","1,209.55","1,210.36","1,199.42","1,199.73",-0.56
"Nov 13, 2018","1,209.16","1,210.07","1,198.82","1,206.45",-0.28
"Nov 12, 2018","1,215.28","1,218.38","1,205.46","1,209.89",-0.35
"Nov 09, 2018","1,212.69","1,214.57","1,206.63","1,214.18",0.01
"Nov 08, 2018","1,219.79","1,220.56","1,211.96","1,214.07",-0.28
"Nov 07, 2018","1,211.35","1,218.47","1,208.14","1,217.54",0.67
"Nov 06, 2018","1,214.15","1,217.41","1,206.94","1,209.41",-0.38
"Nov 05, 2018","1,216.72","1,216.72","1,207.57","1,214.06",-0.23
"Nov 02, 2018","1,213.73","1,224.72","1,213.73","1,216.90",0.46
"Nov 01, 2018","1,219.34","1,222.20","1,207.23","1,211.35",-0.78
"Oct 31, 2018","1,213.87","1,229.21","1,213.66","1,220.88",0.85
"Oct 30, 2018","1,210.53","1,213.69","1,203.11","1,210.62",-0.05
"Oct 29, 2018","1,216.38","1,218.33","1,208.08","1,211.18",-0.29
"Oct 26, 2018","1,209.56","1,216.98","1,207.55","1,214.72",0.23
"Oct 25, 2018","1,205.89","1,214.29","1,204.77","1,211.95",0.45
"Oct 24, 2018","1,214.81","1,217.84","1,206.17","1,206.54",-0.63
"Oct 23, 2018","1,215.76","1,215.99","1,210.13","1,214.13",-0.44
"Oct 22, 2018","1,208.77","1,220.27","1,207.17","1,219.52",0.95
"Oct 19, 2018","1,219.92","1,220.42","1,208.01","1,208.05",-0.71
"Oct 18, 2018","1,216.67","1,220.90","1,213.15","1,216.72",-0.13
"Oct 17, 2018","1,226.13","1,226.13","1,212.49","1,218.30",-0.33
"Oct 16, 2018","1,220.25","1,223.12","1,216.50","1,222.39",0.27
"Oct 15, 2018","1,232.18","1,232.38","1,217.34","1,219.15",-0.94
"Oct 12, 2018","1,223.35","1,234.80","1,223.35","1,230.71",1.03
"Oct 11, 2018","1,209.88","1,221.77","1,208.12","1,218.22",0.37
"Oct 10, 2018","1,229.30","1,229.98","1,211.83","1,213.69",-1.39
"Oct 09, 2018","1,225.15","1,236.80","1,224.02","1,230.78",0.40
"Oct 08, 2018","1,238.42","1,238.42","1,219.64","1,225.85",-1.08
"Oct 05, 2018","1,237.79","1,240.86","1,233.54","1,239.27",0.15
"Oct 04, 2018","1,245.28","1,246.21","1,235.16","1,237.38",-0.57
"Oct 03, 2018","1,238.15","1,245.50","1,234.80","1,244.44",0.59
"Oct 02, 2018","1,249.96","1,249.96","1,236.36","1,237.10",-1.09
"Oct 01, 2018","1,249.41","1,254.44","1,245.97","1,250.74",0.12
"Sep 28, 2018","1,250.70","1,255.50","1,248.07","1,249.19",-0.10
"Sep 27, 2018","1,251.12","1,255.63","1,245.64","1,250.45",0.19
"Sep 26, 2018","1,244.90","1,248.42","1,239.30","1,248.14",0.27
"Sep 25, 2018","1,234.55","1,245.37","1,233.50","1,244.81",1.00
"Sep 24, 2018","1,218.01","1,235.43","1,216.46","1,232.49",1.17
"Sep 21, 2018","1,220.08","1,223.98","1,217.11","1,218.18",-0.10
"Sep 20, 2018","1,224.03","1,225.57","1,217.92","1,219.45",-0.34
"Sep 19, 2018","1,232.52","1,233.74","1,220.35","1,223.61",-0.90
"Sep 18, 2018","1,235.22","1,242.56","1,234.29","1,234.72",0.01
"Sep 17, 2018","1,249.98","1,251.44","1,234.34","1,234.55",-1.25
"Sep 14, 2018","1,251.67","1,255.16","1,249.82","1,250.13",-0.05
"Sep 13, 2018","1,254.62","1,257.37","1,249.52","1,250.80",-0.29
"Sep 12, 2018","1,258.89","1,262.38","1,249.26","1,254.43",-0.38
"Sep 11, 2018","1,253.90","1,261.36","1,252.75","1,259.18",0.66
"Sep 10, 2018","1,250.27","1,252.27","1,245.81","1,250.94",0.14
"Sep 07, 2018","1,250.40","1,255.36","1,248.54","1,249.13",-0.12
"Sep 06, 2018","1,253.10","1,256.09","1,249.23","1,250.61",-0.04
"Sep 05, 2018","1,267.31","1,268.61","1,246.35","1,251.09",-1.24
"Sep 04, 2018","1,256.21","1,267.69","1,256.10","1,266.86",0.85
"Aug 31, 2018","1,250.23","1,258.21","1,249.45","1,256.13",0.47
"Aug 30, 2018","1,248.32","1,252.04","1,247.19","1,250.20",0.19
"Aug 29, 2018","1,244.79","1,248.22","1,243.96","1,247.85",0.24
"Aug 28, 2018","1,245.90","1,247.49","1,240.50","1,244.90",0.11
"Aug 27, 2018","1,246.66","1,248.59","1,242.04","1,243.57",-0.15
"Aug 24, 2018","1,243.76","1,247.03","1,243.42","1,245.41",0.30
"Aug 23, 2018","1,237.72","1,243.89","1,237.30","1,241.70",0.39
"Aug 22, 2018","1,230.77","1,240.45","1,230.77","1,236.93",0.66
"Aug 21, 2018","1,230.43","1,233.68","1,226.87","1,228.86",-0.12
"Aug 20, 2018","1,228.39","1,231.11","1,224.40","1,230.30",0.21
"Aug 17, 2018","1,231.86","1,233.51","1,225.25","1,227.69",-0.27
"Aug 16, 2018","1,235.47","1,235.91","1,228.85","1,231.01",-0.05
"Aug 15, 2018","1,246.14","1,248.19","1,230.49","1,231.66",-1.40
"Aug 14, 2018","1,246.94","1,249.32","1,241.45","1,249.14",0.28
"Aug 13, 2018","1,249.12","1,254.01","1,245.55","1,245.63",-0.22
"Aug 10, 2018","1,240.72","1,250.67","1,239.75","1,248.36",0.45
"Aug 09, 2018","1,240.42","1,243.52","1,237.95","1,242.81",0.33
"Aug 08, 2018","1,236.15","1,239.58","1,233.45","1,238.74",0.30
"Aug 07, 2018","1,231.51","1,237.64","1,231.51","1,235.03",0.50
"Aug 06, 2018","1,224.10","1,229.36","1,221.04","1,228.83",0.50
"Aug 03, 2018","1,235.53","1,236.10","1,221.66","1,222.70",-0.87
"Aug 02, 2018","1,219.88","1,233.50","1,219.88","1,233.44",1.02
"Aug 01, 2018","1,215.49","1,226.87","1,215.49","1,221.03",0.59
"Jul 31, 2018","1,218.08","1,222.76","1,207.62","1,213.82",-0.32
"Jul 30, 2018","1,235.29","1,235.59","1,213.76","1,217.70",-1.35
"Jul 27, 2018","1,246.81","1,246.83","1,231.31","1,234.37",-0.88
"Jul 26, 2018","1,251.72","1,251.72","1,241.22","1,245.28",-0.69
"Jul 25, 2018","1,242.98","1,255.69","1,241.79","1,253.88",0.96
"Jul 24, 2018","1,249.50","1,253.38","1,237.77","1,241.92",-0.44
"Jul 23, 2018","1,244.23","1,249.71","1,243.27","1,247.39",0.32
"Jul 20, 2018","1,238.13","1,246.27","1,238.13","1,243.44",0.53
"Jul 19, 2018","1,242.97","1,245.91","1,235.56","1,236.92",-0.58
"Jul 18, 2018","1,236.92","1,244.82","1,235.63","1,244.19",0.75
"Jul 17, 2018","1,225.72","1,235.44","1,223.97","1,234.89",0.71
"Jul 16, 2018","1,218.62","1,227.25","1,218.62","1,226.19",0.73
"Jul 13, 2018","1,216.76","1,218.14","1,211.33","1,217.27",0.07
"Jul 12, 2018","1,211.50","1,216.57","1,211.37","1,216.40",0.52
"Jul 11, 2018","1,206.36","1,211.90","1,206.18","1,210.16",0.13
"Jul 10, 2018","1,210.47","1,216.64","1,207.63","1,208.61",-0.12
"Jul 09, 2018","1,208.65","1,211.69","1,202.95","1,210.08",0.28
"Jul 06, 2018","1,207.20","1,207.99","1,204.03","1,206.72",-0.14
"Jul 05, 2018","1,216.31","1,217.80","1,208.35","1,208.41",-0.50
"Jul 03, 2018","1,224.35","1,225.85","1,212.20","1,214.52",-0.76
"Jul 02, 2018","1,215.55","1,224.83","1,213.97","1,223.78",0.62
"Jun 29, 2018","1,220.54","1,224.40","1,214.98","1,216.24",0.03
"Jun 28, 2018","1,212.20","1,219.35","1,211.20","1,215.93",0.45
"Jun 27, 2018","1,220.98","1,226.09","1,210.41","1,210.52",-0.75
"Jun 26, 2018","1,215.85","1,224.83","1,215.56","1,219.71",0.45
"Jun 25, 2018","1,226.23","1,226.23","1,212.39","1,214.30",-1.19
"Jun 22, 2018","1,247.24","1,247.57","1,228.73","1,228.87",-1.46
